year,label,store_sales_b,yoy_pct,stores,mix_365_grocery_pct,mix_365_all_sales_pct,prime_share,pickup_delivery_share,source
2018,2018,17.22,,487,14.0,6.5,0.32,0.07,Amazon 10-K Physical stores
2019,2019,17.19,-0.2,495,16.0,7.2,0.35,0.08,Amazon 10-K Physical stores
2020,2020,16.23,-5.6,500,18.0,8.2,0.44,0.14,Amazon 10-K Physical stores
2021,2021,17.08,5.2,505,19.0,8.8,0.47,0.15,Amazon 10-K Physical stores
2022,2022,18.96,11.0,515,20.0,9.4,0.49,0.16,Amazon 10-K Physical stores
2023,2023,20.03,5.6,528,21.0,10.0,0.50,0.17,Amazon 10-K Physical stores
2024,2024,21.22,5.9,535,22.5,10.6,0.51,0.175,Amazon 10-K Physical stores
2025,2025,22.56,6.3,545,24.0,11.2,0.52,0.18,Amazon 10-K Physical stores ($22,561M)
2026,2026 YTD,23.40,3.7,550,24.8,11.6,0.54,0.20,YTD annualized through August 2026 (not a full-year 10-K)
